ano,grupo,num_incendios,ha_total
2006,Rayo,28,107.66
2006,Reproducción,58,288.46
2007,Causa descoñecida,204,279.85
2007,Intencionado,1107,4138.86
2007,Negligencias e accidentes,118,281.74
2007,Rayo,12,4.4
2007,Reproducción,24,40.75
2008,Causa descoñecida,162,258.77
2008,Intencionado,1060,3947.72
2008,Negligencias e accidentes,96,47.52
2008,Rayo,19,82.61
2008,Reproducción,11,10.64
2009,Causa descoñecida,198,1237.23
2009,Intencionado,1443,4994.06
2009,Negligencias e accidentes,115,427.57
2009,Rayo,5,0.05
2009,Reproducción,33,33.57
2010,Causa descoñecida,116,124.54
2010,Intencionado,1174,8788.93
2010,Negligencias e accidentes,66,59.49
2010,Rayo,29,4.73
2010,Reproducción,31,101.68
2011,Causa descoñecida,297,2239.54
2011,Intencionado,2096,25094.99
2011,Negligencias e accidentes,93,780.28
2011,Rayo,37,13.16
2011,Reproducción,86,5186.92
2012,Causa descoñecida,179,909.32
2012,Intencionado,1225,6059.36
2012,Negligencias e accidentes,82,380.24
2012,Rayo,24,61.78
2012,Reproducción,15,1789.68
2013,Causa descoñecida,188,1836.41
2013,Intencionado,877,5947.18
2013,Negligencias e accidentes,92,217.26
2013,Rayo,28,11.17
2013,Reproducción,42,224.41
2014,Causa descoñecida,89,117.13
2014,Intencionado,305,877.87
2014,Negligencias e accidentes,51,97.82
2014,Rayo,4,0.27
2014,Reproducción,4,4.68
2015,Causa descoñecida,72,144.53
2015,Intencionado,987,6713.78
2015,Negligencias e accidentes,91,445.79
2015,Rayo,14,196.66
2015,Reproducción,39,197.47
2016,Causa descoñecida,49,3133.28
2016,Intencionado,629,7685.54
2016,Negligencias e accidentes,38,23.25
2016,Rayo,35,32.98
2016,Reproducción,23,828.45
2017,Causa descoñecida,69,3676.33
2017,Intencionado,1130,25486.71
2017,Negligencias e accidentes,72,110.89
2017,Rayo,20,25.28
2017,Reproducción,41,1149.11
2018,Causa descoñecida,31,40.62
2018,Intencionado,356,1067.16
2018,Negligencias e accidentes,39,40.86
2018,Rayo,27,160.29
2018,Reproducción,9,12.14
2019,Causa descoñecida,34,76.02
2019,Intencionado,515,2442.39
2019,Negligencias e accidentes,67,78.92
2019,Rayo,21,6.48
2019,Reproducción,10,46.47
2020,Causa descoñecida,46,59.64
2020,Intencionado,447,12233.4
2020,Negligencias e accidentes,69,683.49
2020,Rayo,20,5.35
2020,Reproducción,11,232.11
2021,Causa descoñecida,23,9.73
2021,Intencionado,283,389.05
2021,Negligencias e accidentes,40,418.28
2021,Rayo,23,9.93
2021,Reproducción,6,130.79
2022,Causa descoñecida,23,3051.84
2022,Intencionado,433,7588.35
2022,Negligencias e accidentes,83,1594.34
2022,Rayo,66,20382.31
2022,Reproducción,31,127.46
