ano,provincia,distrito,num_incendios,ha_arborada,ha_rasa,ha_total
2022,A Coruña,BERGANTIÑOS-MARIÑAS CORUÑESAS,104,21.92,23.53,45.45
2022,A Coruña,FERROL,49,95.39,151.73,247.12
2022,A Coruña,FISTERRA,39,44.55,62.76,107.31
2022,A Coruña,SANTIAGO-MESETA INTERIOR,69,59.35,16.7,76.05
2022,Lugo,A MARIÑA LUCENSE,22,7.06,31.45,38.51
2022,Lugo,FONSAGRADA-OS ANCARES,39,99.95,299.17,399.12
2022,Lugo,LUGO-SARRIA,65,224.49,352.63,577.12
2022,Lugo,TERRA CHA,67,46.95,27.88,74.83
2022,Lugo,TERRA DE LEMOS,84,5583.68,7828.06,13411.74
2022,Ourense,A LIMIA,104,223.95,979.78,1203.73
2022,Ourense,MIÑO-ARNOIA,118,37.13,231.91,269.04
2022,Ourense,O RIBEIRO-ARENTEIRO,108,913.98,427.22,1341.2
2022,Ourense,VALDEORRAS-TRIVES,99,3174.07,10895.71,14069.78
2022,Ourense,VERIN-VIANA,207,3761.49,11434.28,15195.77
2022,Pontevedra,CALDAS-O SALNES,131,917.75,139.83,1057.58
2022,Pontevedra,DEZA-TABEIROS,66,208.93,299.39,508.32
2022,Pontevedra,O CONDADO-A PARADANTA,125,522.02,198.85,720.87
2022,Pontevedra,VIGO-BAIXO MIÑO,129,76.68,4.19,80.87
2023,A Coruña,BARBANZA,44,4.79,3.12,7.91
2023,A Coruña,BERGANTIÑOS-MARIÑAS CORUÑESAS,78,28.86,27.5,56.36
2023,A Coruña,FERROL,29,20.27,48.67,68.94
2023,A Coruña,FISTERRA,20,23.47,108.52,131.99
2023,A Coruña,SANTIAGO-MESETA INTERIOR,22,11.4,23.27,34.67
2023,Lugo,A MARIÑA LUCENSE,28,2681.95,126.57,2808.52
2023,Lugo,FONSAGRADA-OS ANCARES,13,706.5,895.64,1602.14
2023,Lugo,LUGO-SARRIA,45,20.63,147.27,167.9
2023,Lugo,TERRA CHA,37,42.81,52.98,95.79
2023,Lugo,TERRA DE LEMOS,45,66.39,149.84,216.23
2023,Ourense,A LIMIA,53,38.94,411.72,450.66
2023,Ourense,MIÑO-ARNOIA,74,13.06,12.67,25.73
2023,Ourense,O RIBEIRO-ARENTEIRO,37,24.02,109.6,133.62
2023,Ourense,VALDEORRAS-TRIVES,34,12.77,20.09,32.86
2023,Ourense,VERIN-VIANA,102,85.52,512.23,597.75
2023,Pontevedra,CALDAS-O SALNES,98,58.06,26.0,84.06
2023,Pontevedra,DEZA-TABEIROS,35,45.14,23.97,69.11
2023,Pontevedra,O CONDADO-A PARADANTA,55,59.1,94.17,153.27
2023,Pontevedra,VIGO-BAIXO MIÑO,59,9.66,1.75,11.41
2024,A Coruña,BARBANZA,23,107.01,56.32,163.33
2024,A Coruña,BERGANTIÑOS-MARIÑAS CORUÑESAS,44,6.1,3.22,9.32
2024,A Coruña,FERROL,15,3.43,12.23,15.66
2024,A Coruña,FISTERRA,11,7.39,2.86,10.25
2024,A Coruña,SANTIAGO-MESETA INTERIOR,37,19.51,32.61,52.12
2024,Lugo,A MARIÑA LUCENSE,12,192.23,14.75,206.98
2024,Lugo,FONSAGRADA-OS ANCARES,23,11.4,81.36,92.76
2024,Lugo,LUGO-SARRIA,16,0.49,4.37,4.86
2024,Lugo,TERRA CHA,27,25.76,37.29,63.05
2024,Lugo,TERRA DE LEMOS,20,4.2,24.9,29.1
2024,Ourense,A LIMIA,28,13.36,307.3,320.66
2024,Ourense,MIÑO-ARNOIA,92,15.34,15.64,30.98
2024,Ourense,O RIBEIRO-ARENTEIRO,80,95.53,42.87,138.4
2024,Ourense,VALDEORRAS-TRIVES,33,3.94,53.99,57.93
2024,Ourense,VERIN-VIANA,57,121.13,571.61,692.74
2024,Pontevedra,CALDAS-O SALNES,77,41.33,32.99,74.32
2024,Pontevedra,DEZA-TABEIROS,26,11.39,26.28,37.67
2024,Pontevedra,O CONDADO-A PARADANTA,54,466.66,153.69,620.35
2024,Pontevedra,VIGO-BAIXO MIÑO,80,22.25,1.97,24.22
2025,A Coruña,BARBANZA,71,56.66,74.13,130.79
